move_count,click_count,left_click_count,right_click_count,scroll_count,event_rate,path_length,displacement,straightness,speed_mean,speed_std,speed_max,acceleration_mean,acceleration_std,acceleration_max,direction_change_mean,direction_change_std,click_interval_mean,click_interval_std,click_hold_mean,click_hold_std,double_click_count,scroll_abs_total,scroll_abs_mean,scroll_interval_mean,scroll_interval_std
589,4,3,1,6,60.44455202186358,4948.249980964514,483.5131849288083,0.0977139770199244,1050.5075265266305,949.450629381111,5290.321927429413,22063.97066907965,26120.269809654365,266850.92075363174,14.046072599693582,31.06831717242004,1.8131005764007568,1.3004478628361025,0.0739267468452453,0.0087589358858948,0.0,6.0,1.0,0.1821099758148193,0.3165822896000316
105,1,1,0,0,10.980363280557482,659.154212582929,564.9070720038828,0.8570180713709862,799.3897363998666,637.7802318070757,3190.0506334351285,23528.41368936063,40785.56749656323,388070.5095042218,14.077963917647631,30.77760702858197,0.0,0.0,0.1038386821746826,0.0,0.0,0.0,0.0,0.0,0.0
220,2,2,0,0,30.94159141416736,1541.8564414303498,951.262319236918,0.6169590719836736,880.5918342539707,743.4704741256548,3663.297747678502,22036.382509270486,31962.47452548929,388070.5095042218,10.691367843831763,20.371624800347444,6.231252431869507,0.0,0.0839359760284423,0.0199027061462402,0.0,0.0,0.0,0.0,0.0
310,2,2,0,3,32.24280604199183,2060.294235366074,569.0140595802533,0.2761809695978451,870.9572406033857,1242.5032008106343,17797.66311722084,54201.2641457048,496992.8235458373,8584775.18615881,12.659434569332202,19.89904424755009,6.231252431869507,0.0,0.0839359760284423,0.0199027061462402,0.0,3.0,1.0,0.3522073030471802,0.3119369745254516
360,2,2,0,3,38.77706585467681,1965.723877474711,244.3767583056949,0.1243189651944586,713.2117540658116,1154.8533138289054,17797.66311722084,46866.81307205573,460897.33953605377,8584775.18615881,15.02816055236226,20.97955629815665,7.778221130371094,0.0,0.0791610479354858,0.0151277780532836,0.0,3.0,1.0,0.3522073030471802,0.3119369745254516
198,1,1,0,0,20.99060885969701,1655.4289690457413,768.010416596025,0.4639343825417882,1046.83645762867,1240.4362955911504,5363.657223226437,20566.91503590425,21075.614261019644,109342.1691448581,12.977387974461523,19.03386419606125,0.0,0.0,0.0942888259887695,0.0,0.0,0.0,0.0,0.0,0.0
219,1,1,0,0,25.939633551303512,1676.2573961704877,767.3447725761869,0.4577726394104109,957.2520271902464,1211.0478582797766,5363.657223226437,19602.995142258376,20808.08044195389,109342.1691448581,13.0702135740179,20.108492762567,0.0,0.0,0.0942888259887695,0.0,0.0,0.0,0.0,0.0,0.0
54,1,1,0,0,5.870937555154551,306.6438118476825,264.8339102154405,0.8636532027817015,724.1836431615366,367.9604944833743,1394.490958068876,17706.47082592288,13231.806694072966,46932.1385325184,6.271984659994827,6.19746331517863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,1,1,0,2,37.79821107560758,704.6649241763942,128.5496013218244,0.1824265646144825,552.3944475606298,431.5718491242778,1685.309768607238,16366.44841353679,14242.988067806837,74896.6277947459,13.006263979074664,21.67584727332529,0.0,0.0,0.0953724384307861,0.0,0.0,2.0,1.0,0.0560400485992431,0.0
471,4,4,0,7,53.8569497250403,4497.827422788599,578.2914490116553,0.1285712844565124,1195.1505946903767,1888.729537424176,11704.472059699045,29028.27094066779,63145.348830126764,960042.4957480892,14.776319728196285,23.5750290948845,2.455817222595215,2.3840935705004185,0.0701670050621032,0.0149606613305372,0.0,7.0,1.0,0.3304789861043294,0.6843876270205126
608,6,4,2,7,66.7048255310361,6289.974529168541,1096.3963699319695,0.1743085548037823,1297.8325497295334,2061.593933346516,11704.472059699045,35435.551212513914,123615.5868071476,2674390.1110674227,21.429393484383816,33.36429102983416,1.2255992889404297,1.0269012949168874,0.0693853696187337,0.0163547337758967,0.0,7.0,1.0,0.3304789861043294,0.6843876270205126
649,9,7,2,0,66.60000476360355,6373.646553076346,394.9291075623573,0.0619628189724041,1229.8204236572603,1776.063907751677,8369.462324954638,31904.38981906385,109980.91682966363,2674390.1110674227,24.208989822318014,38.64768936850091,1.1640223264694214,0.8405476386210188,0.1150170266628265,0.1146543390589981,0.0,0.0,0.0,0.0,0.0
624,9,8,1,0,64.20149547722534,5577.243380345248,771.495301346677,0.1383291437604286,1116.348098671184,1508.8485775866495,8369.462324954638,26387.06480211801,31873.89198371457,251435.86637482783,19.275627435983864,36.41762595946492,0.9520618319511414,0.269358423185626,0.1456280814276801,0.1318927360426204,0.0,0.0,0.0,0.0,0.0
